[21:41:57.625830] firefox browser starting
[21:41:57.626056] starting connection to https://en.wikipedia.org/wiki/Cat
[21:41:59.714438] finished connection to https://en.wikipedia.org/wiki/Cat
[21:41:59.714561] starting connection to https://en.wikipedia.org/wiki/Dog
[21:42:00.776801] finished connection to https://en.wikipedia.org/wiki/Dog
[21:42:00.776927] starting connection to https://en.wikipedia.org/wiki/Egress_filtering
[21:42:01.172141] finished connection to https://en.wikipedia.org/wiki/Egress_filtering
[21:42:01.172336] starting connection to http://web.mit.edu/
[21:42:02.599389] finished connection to http://web.mit.edu/
[21:42:02.599516] starting connection to http://www.unm.edu/
[21:42:08.674325] finished connection to http://www.unm.edu/
[21:42:08.674441] starting connection to https://www.cmu.edu/
[21:42:12.030919] finished connection to https://www.cmu.edu/
[21:42:12.031038] starting connection to https://www.berkeley.edu/
[21:42:14.609761] finished connection to https://www.berkeley.edu/
[21:42:14.609872] starting connection to https://www.utexas.edu/
[21:42:16.870094] finished connection to https://www.utexas.edu/
[21:42:16.870253] starting connection to https://www.asu.edu/
[21:42:20.504564] finished connection to https://www.asu.edu/
[21:42:20.504681] starting connection to https://www.utdallas.edu/
[21:42:22.073737] finished connection to https://www.utdallas.edu/
[21:42:22.073857] finished firefox browser
[21:43:08.909318] firefox browser starting
[21:43:08.909514] starting connection to https://en.wikipedia.org/wiki/Cat
[21:43:10.434966] finished connection to https://en.wikipedia.org/wiki/Cat
[21:43:10.435079] starting connection to https://en.wikipedia.org/wiki/Dog
[21:43:11.349523] finished connection to https://en.wikipedia.org/wiki/Dog
[21:43:11.349638] starting connection to https://en.wikipedia.org/wiki/Egress_filtering
[21:43:11.754412] finished connection to https://en.wikipedia.org/wiki/Egress_filtering
[21:43:11.754524] starting connection to http://web.mit.edu/
[21:43:12.537496] finished connection to http://web.mit.edu/
[21:43:12.537646] starting connection to http://www.unm.edu/
[21:43:17.751714] finished connection to http://www.unm.edu/
[21:43:17.751833] starting connection to https://www.cmu.edu/
[21:43:26.398638] finished connection to https://www.cmu.edu/
[21:43:26.398763] starting connection to https://www.berkeley.edu/
[21:43:29.335371] finished connection to https://www.berkeley.edu/
[21:43:29.335485] starting connection to https://www.utexas.edu/
[21:43:31.320893] finished connection to https://www.utexas.edu/
[21:43:31.321048] starting connection to https://www.asu.edu/
[21:43:38.617387] finished connection to https://www.asu.edu/
[21:43:38.617538] starting connection to https://www.utdallas.edu/
[21:43:42.347737] finished connection to https://www.utdallas.edu/
[21:43:42.347886] finished firefox browser
